"Agriculture, forestry, and fishing, value added (% of GDP)",CO2 emissions (kg per PPP $ of GDP),Current health expenditure (% of GDP),Lifetime risk of maternal death (%),Population growth (annual %),"Unemployment, total (% of total labor force)",Level of water stress,Internet Penetration Ratio,Urbanization Ratio,Freshwater Withdrawals to Water Productivity Ratio,Cropland Ratio,Water Use (mm/day/yr) - Cropland,Vapor pressure deficit VPD,Normalized difference vegetation index NDVI,Air Temp (Kelvin),Country
24.19827461,0.224429519,2.58692551,2.009088471,3.092079184,0.6,106.641157,0.00638399,0.496557917,362.1980675,0.018175917,2.32,1.75,0.33,298.02,Pakistan
2.993028146,0.296918579,6.38664055,0.003011964,-0.074846229,8.99,36.79820007,0.536472592,1.525443847,0.461312021,0.026067665,1.77,0.34,0.52,282.9,Poland
17.98351399,0.100058123,4.80760574,1.305522053,1.410821213,13.852,13.38379177,0.058650071,1.145738563,1.069158968,0.152173913,3.03,0.76,0.62,298.48,Haiti
7.938754274,0.27651384,7.61078882,0.151582566,1.033476224,11.51,9.348217078,1.241236791,9.031096399,0.893213798,0.007696991,1.89,0.78,0.51,290.36,Argentina
12.04990141,0.217831247,7.709445,0.172044196,1.773336937,6.73,4.621268764,0.348887589,1.263109059,0.130685889,0.157618214,3.31,0.63,0.67,296.34,Honduras
26.97108697,0.209128303,2.89382267,2.702088126,2.875557241,0.886,0.975243811,0.023340192,0.711098183,0.019773153,0.089552239,3.46,1.56,0.47,300.63,Benin
5.727925913,0.222591781,8.1302166,0.09482907,0.146006195,6.8,12.28621335,0.010985386,1.571156763,1.341312431,0.207591934,3.36,1.03,0.64,299.38,El Salvador
9.769585882,0.286767742,5.17306805,0.606703385,1.677828499,2.25,1.177001127,3.126032224,2.018776792,0.054041058,0.005831137,2.91,0.81,0.6,296.72,Bolivia
1.65472753,0.152544691,10.5219717,0.010991975,0.376272243,7.8,19.69983775,0.659993374,6.777259294,0.030676212,0.002286585,2.09,0.25,0.54,281.52,Denmark
12.3041681,0.250092749,4.94123983,0.490255578,1.309479244,9.67,60.92737484,0.286182872,1.259682741,7.168684909,0.029453015,1.6,0.86,0.35,290.5,Morocco
20.58558722,0.117874321,6.05631208,1.487579815,2.865655421,4.566,7.820267686,0.107449045,0.403370897,0.402031556,0.011776332,2.27,2.32,0.35,301.84,Burkina Faso
1.894231512,0.357591828,10.41469765,0.019951384,1.056591259,7.07,3.839340886,21.92653509,4.312931676,0.032441254,0.003094637,1.97,0.33,0.29,275.66,Canada
3.008360311,0.337853848,6.22393656,0.00331025,-0.000239076,10.09,39.70231914,0.501286949,1.541554415,0.562379484,0.027393489,2.2,0.34,0.47,281.66,Poland
56.05780654,0.076841569,11.0984726,4.910619277,2.736565832,4.06,0.495794393,0.002997967,0.625117821,0.008676347,0.036832703,4.18,0.77,0.63,298.88,Sierra Leone
0.746712203,0.269334258,4.29904938,0.016435214,0.779087177,2.33,1628.666667,0.764426298,6.569449701,9.864803155,0.103995902,0.24,2.51,0.16,301.52,United Arab Emirates
3.353697777,0.208496195,2.42097569,0.774420841,3.5582226,20.489,0.502166065,3.366942432,6.481669909,0.000938976,0.079389022,4.08,0.48,0.52,297.52,Gabon
40.63560753,1,4.081440713,0.084027997,0.100775749,8.747,124.3601389,0.316313702,1.150537634,178.6835289,0.076934128,0.98,1.48,0.24,292.14,Syrian Arab Republic
8.044517527,0.383653907,6.91794872,2.312262532,1.822308562,5.139,32.48803042,0.349949805,0.488848525,5.228256384,0.00617284,1.84,1.17,0.4,294.37,Zimbabwe
8.298481514,0.330773958,5.12036419,0.127214831,0.989948991,14.55,71.70606607,0.080844384,1.793452148,6.462248363,0.218887637,0.69,0.96,0.24,291.09,Tunisia
26.87580163,0.184857138,2.32052207,2.738024131,2.887074085,1.466,0.975243811,0.205657437,0.917950095,0.01157122,0.151898734,3.6,1.48,0.49,300.94,Benin
37.37605549,0.197927391,4.80787134,2.444645966,2.60283805,2.034,3.391634981,0.031409191,0.627233378,0.090458336,0.051948052,3.26,1.13,0.49,299.88,Togo
3.037347757,0.321958844,8.39808273,0.004564147,0.254757582,8.4,19.46125835,0.418603729,3.03209548,0.59988011,0.146265962,1.65,0.74,0.48,288.12,Greece
